CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_12	Message	訊息	メッセージ	Mensaje	Ujumbe	Besked	ข้อความ	Pesan	Tin nhắn	Mensagem	메시지	မက်ဆေ့ချ်
L_13	Other game	其他遊戲	その他のゲーム	otro juego	Mchezo mwingine	Andet spil	เกมอื่นๆ	Permainan lainnya	Trò chơi khác	Outro jogo	다른 게임	အခြားဂိမ်း
L_14	This game	這個遊戲	このゲーム	este juego	Mchezo huu	Dette spil	เกมนี้	Permainan ini	Trò chơi này	Este jogo	이 게임	ဒီဂိမ်း
L_15	Click the icon to use Rich card!	點擊圖示即可使用富卡！	リッチカードを使うにはアイコンをクリック！	¡Haga clic en el ícono para usar la tarjeta Rich!	Bofya ikoni ili kutumia Rich card!	Klik på ikonet for at bruge Rich card!	คลิกที่ไอคอนเพื่อใช้การ์ด Rich!	Klik ikon untuk menggunakan Kartu informasi!	Bấm vào biểu tượng để sử dụng thẻ Rich!	Clique no ícone para usar o Rich Card!	아이콘을 클릭하시면 리치카드를 사용하실 수 있습니다!	ချမ်းသာကတ်ကို အသုံးပြုရန် အိုင်ကွန်ကို နှိပ်ပါ။
L_16	To receive the prize,place bets until the progress bar is full and unlock more rewards by upgrading your LV level.	要獲得獎品，請下注直至進度條滿，並透過升級 LV 等級來解鎖更多獎勵。	賞品を受け取るには、プログレスバーがいっぱいになるまでベットし、LV レベルをアップグレードしてさらに多くの報酬のロックを解除します。	Para recibir el premio, haga apuestas hasta que la barra de progreso esté llena y desbloquee más recompensas mejorando su nivel LV.	Ili kupokea zawadi, weka dau hadi upau wa maendeleo ujae na upate zawadi zaidi kwa kuboresha kiwango chako cha LV.	For at modtage præmien skal du placere væddemål, indtil statuslinjen er fuld, og låse op for flere belønninger ved at opgradere dit LV-niveau.	หากต้องการรับรางวัล ให้วางเดิมพันจนกว่าแถบความคืบหน้าจะเต็ม และปลดล็อครางวัลเพิ่มเติมโดยการอัพเกรดระดับ LV ของคุณ	Untuk menerima hadiah, pasang taruhan hingga bilah kemajuan penuh dan buka lebih banyak hadiah dengan meningkatkan level LV Anda.	Để nhận giải thưởng, hãy đặt cược cho đến khi thanh tiến trình đầy và mở khóa thêm phần thưởng bằng cách nâng cấp cấp LV của bạn.	Para receber o prêmio, faça apostas até que a barra de progresso esteja cheia e desbloqueie mais recompensas atualizando seu nível de LV.	상품을 받으려면 진행률 표시줄이 가득 찰 때까지 베팅하고 LV 레벨을 업그레이드하여 더 많은 보상을 잠금 해제하세요.	ဆုကိုရယူရန်၊ တိုးတက်မှုဘားမပြည့်မချင်း အလောင်းအစားများထည့်ကာ သင်၏ LV အဆင့်ကို အဆင့်မြှင့်တင်ခြင်းဖြင့် နောက်ထပ်ဆုများကို လော့ခ်ဖွင့်ပါ။
L_17	No Rich Card  in your backpack.	無富卡  在你的背包裡。	リッチカードなし  バックパックの中に。	Sin tarjeta rica  en tu mochila.	Hakuna Kadi Tajiri  katika mkoba wako.	Intet Rich Card  i din rygsæk.	ไม่มีริชการ์ด  ในกระเป๋าเป้สะพายหลังของคุณ	Tidak Ada Kartu Informasi  di ranselmu.	Không có thẻ Rich  trong ba lô của bạn.	Sem cartão rico  em sua mochila.	리치 카드 없음  배낭에.	ချမ်းသာကတ်မရှိပါ။  မင်းရဲ့ကျောပိုးအိတ်ထဲမှာ။
L_18	The Rich card dissapears once expired.	Rich 卡一旦過期就會消失。	リッチ カードは有効期限が切れると消滅します。	La tarjeta Rich desaparece una vez caducada.	Kadi Tajiri hupotea mara tu muda wake ulipokwisha.	Rich-kortet forsvinder, når det er udløbet.	การ์ด Rich จะหายไปเมื่อหมดอายุ	Kartu Kaya akan hilang setelah habis masa berlakunya.	Thẻ Rich sẽ biến mất sau khi hết hạn.	O Rich Card desaparece quando expira.	리치 카드는 만료되면 사라집니다.	ချမ်းသာကတ်သည် သက်တမ်းကုန်သွားသည်နှင့် ပျောက်သွားသည်။
L_19	Missions	使命	ミッション	Misiones	Misheni	Missioner	ภารกิจ	Misi	Nhiệm vụ	Missões	임무	မစ်ရှင်များ
L_20	Daily Missions	每日任務	デイリーミッション	Misiones Diarias	Misheni za Kila Siku	Daglige Missioner	ภารกิจรายวัน	Misi Harian	Nhiệm vụ hàng ngày	Missões Diárias	일일 임무	နေ့စဉ်မစ်ရှင်များ
L_21	Mission Description	任務說明	ミッションの説明	Descripción de la misión	Maelezo ya Dhamira	Opgavebeskrivelse	คำอธิบายภารกิจ	Deskripsi Misi	Mô tả nhiệm vụ	Descrição da missão	임무 설명	မစ်ရှင်ဖော်ပြချက်
L_22	1. Missions reset daily at 03:00 and  progress will start from zero.	1.任務每天03:00重置，進度從零開始。	1. ミッションは毎日03:00にリセットされ、進行状況はゼロから始まります。	1. Las misiones se reinician diariamente a las 03:00 y el progreso comenzará desde cero.	1. Misheni huwekwa upya kila siku saa 03:00 na maendeleo yataanza kutoka sifuri.	1. Missioner nulstilles dagligt kl. 03:00, og fremskridtene starter fra nul.	1. ภารกิจจะรีเซ็ตทุกวันเวลา 03:00 น. และความคืบหน้าจะเริ่มจากศูนย์	1. Misi direset setiap hari pada pukul 03:00 dan kemajuan akan dimulai dari nol.	1. Nhiệm vụ được đặt lại hàng ngày vào lúc 03:00 và tiến trình sẽ bắt đầu từ con số 0.	1. As missões são reiniciadas diariamente às 03:00 e o progresso começará do zero.	1. 미션은 매일 03:00에 재설정되며 진행 상황은 0부터 시작됩니다.	1. မစ်ရှင်များကို နေ့စဉ် 03:00 တွင် ပြန်လည်သတ်မှတ်ပြီး တိုးတက်မှုသည် သုညမှ စတင်မည်ဖြစ်သည်။
L_23	2. Once you obtain an Rich Card, check its description in "Backpack"-->"All" and note the available date.	2.獲得豐富卡片後，請在「背包」-->「全部」中查看其描述，並記下可用日期。	2. リッチ カードを取得したら、「バックパック」-->「すべて」の説明を確認し、利用可能日をメモします。	2. Una vez que obtenga una Rich Card, verifique su descripción en "Mochila"-->"Todos" y anote la fecha disponible.	2. Mara tu unapopata Kadi Nzuri, angalia maelezo yake katika "Mkoba"-->"Zote" na utambue tarehe inayopatikana.	2. Når du har fået et Rich Card, skal du tjekke dets beskrivelse i "Rygsæk"-->"Alle" og notere den tilgængelige dato.	2. เมื่อคุณได้รับ Rich Card แล้ว ให้ตรวจสอบคำอธิบายใน "กระเป๋าเป้สะพายหลัง"-->"ทั้งหมด" และจดวันที่ที่มีจำหน่าย	2. Setelah Anda memperoleh Kartu Informasi, periksa deskripsinya di "Ransel"-->"Semua" dan catat tanggal ketersediaannya.	2. Sau khi bạn nhận được Thẻ Rich, hãy kiểm tra mô tả của nó trong "Ba lô" -> "Tất cả" và ghi lại ngày có sẵn.	2. Depois de obter um Rich Card, verifique sua descrição em "Mochila"-->"Todas" e anote a data disponível.	2. 리치 카드를 획득한 후 "Backpack"-->"All"에서 해당 설명을 확인하고 사용 가능한 날짜를 기록하십시오.	2. ကြွယ်ဝသောကတ်တစ်ခုရရှိပြီးသည်နှင့် "Backpack"-->"All" တွင် ၎င်း၏ဖော်ပြချက်ကို စစ်ဆေးပြီး ရရှိနိုင်သည့်ရက်စွဲကို မှတ်သားပါ။
L_24	3. Rich Cards for other games are only usable in specified games.	3.其他遊戲的豐富卡牌只能在指定遊戲中使用。	3. 他のゲームのリッチカードは指定されたゲームでのみ使用可能です。	3. Las Rich Cards de otros juegos solo se pueden utilizar en juegos específicos.	3. Kadi Tajiri za michezo mingine zinaweza kutumika katika michezo maalum pekee.	3. Rich Cards til andre spil kan kun bruges i specificerede spil.	3. Rich Cards สำหรับเกมอื่นๆ ใช้ได้เฉพาะในเกมที่ระบุเท่านั้น	3. Kartu Informasi untuk game lain hanya dapat digunakan di game tertentu.	3. Thẻ Rich của các trò chơi khác chỉ có thể sử dụng được trong các trò chơi được chỉ định.	3. Rich Cards para outros jogos só podem ser usados ​​em jogos específicos.	3. 다른 게임의 리치 카드는 특정 게임에서만 사용할 수 있습니다.	3. အခြားဂိမ်းများအတွက် ကြွယ်ဝသောကတ်များကို သတ်မှတ်ထားသောဂိမ်းများတွင်သာ အသုံးပြုနိုင်ပါသည်။
L_25	4. Mission progress does not include the effects of Rich Cards.	4.任務進度不包含豐富卡牌的效果。	4. ミッションの進行状況にはリッチカードの効果は含まれません。	4. El progreso de la misión no incluye los efectos de las Rich Cards.	4. Maendeleo ya dhamira hayajumuishi athari za Kadi Tajiri.	4. Missionsfremskridt inkluderer ikke virkningerne af Rich Cards.	4. ความก้าวหน้าของภารกิจไม่รวมถึงเอฟเฟกต์ของ Rich Card	4. Kemajuan misi tidak termasuk efek Kartu Kaya.	4. Tiến trình nhiệm vụ không bao gồm tác dụng của Thẻ Rich.	4. O progresso da missão não inclui os efeitos dos Rich Cards.	4. 미션 진행에는 리치 카드의 효과가 포함되지 않습니다.	4. မစ်ရှင်တိုးတက်မှုတွင် Rich Cards ၏အကျိုးသက်ရောက်မှုများမပါဝင်ပါ။
L_26	5. Missions for specified games in Single game mission do not count towards missions in jili.	5.單場任務中指定遊戲的任務不計入吉利任務。	5. シングルゲームミッションの指定されたゲームのミッションは、jili のミッションにはカウントされません。	5. Las misiones para juegos específicos en la misión de un solo juego no cuentan para las misiones en jili.	5. Misheni za michezo maalum katika misheni ya Mchezo Mmoja hazihesabiki kwenye misheni katika jili.	5. Missioner for specificerede spil i Single game mission tæller ikke med i missioner i jili.	5. ภารกิจสำหรับเกมที่ระบุในภารกิจเกมเดี่ยวจะไม่นับรวมในภารกิจในจิลี่	5. Misi untuk game tertentu dalam Misi game tunggal tidak diperhitungkan dalam misi di jili.	5. Nhiệm vụ của các trò chơi cụ thể trong Nhiệm vụ trò chơi đơn không được tính vào nhiệm vụ trong jili.	5. Missões para jogos específicos em Missão de jogo único não contam para missões em Jili.	5. 싱글 게임 미션의 특정 게임에 대한 미션은 질리 미션에 포함되지 않습니다.	5. တစ်ကိုယ်ရေဂိမ်းမစ်ရှင်ရှိ သတ်မှတ်ထားသောဂိမ်းများအတွက် မစ်ရှင်များကို jili ရှိ missions များတွင် ထည့်သွင်းမတွက်ပါ။
L_27	Events	活動	イベント	Eventos	Matukio	Begivenheder	กิจกรรม	Acara	Sự kiện	Eventos	이벤트	အဲ့ဒါနဲ့
L_28	Free Gift	免費禮物	無料ギフト	Regalo gratis	Zawadi ya Bure	Gratis gave	ของขวัญฟรี	Hadiah Gratis	Quà tặng miễn phí	Presente grátis	무료 선물	အခမဲ့လက်ဆောင်
L_29	Favorites	收藏夾	お気に入り	Favoritos	Vipendwa	Favoritter	รายการโปรด	Favorit	Yêu thích	Favoritos	즐겨찾기	အကြိုက်ဆုံးများ
L_30	Features	特徵	特徴	Características	Vipengele	Funktioner	คุณสมบัติ	Fitur	Đặc trưng	Características	특징	အင်္ဂါရပ်များ
L_31	Countdown	倒數計時	カウントダウン	Cuenta atrás	Muda uliosalia	Nedtælling	นับถอยหลัง	Hitung mundur	Đếm ngược	Contagem regressiva	카운트다운	နှစ်သစ်
L_32	Any 3 Symbols to win.	任 3 個符號即可獲勝。	シンボルが 3 つあれば勝利します。	3 símbolos cualesquiera para ganar.	Alama zozote 3 kushinda.	Alle 3 symboler at vinde.	3 สัญลักษณ์ใด ๆ ที่จะชนะ	3 Simbol apa pun untuk menang.	3 Biểu tượng bất kỳ để giành chiến thắng.	Quaisquer 3 símbolos para ganhar.	3개의 기호를 획득하면 승리할 수 있습니다.	အနိုင်ရရန် သင်္ကေတ 3 ခု။
L_33	Special Wheel.A variety of effects	特殊轉盤，多種效果	特殊ホイール、多彩なエフェクト	Rueda especial. Una variedad de efectos.	Gurudumu Maalum.Aina mbalimbali za athari	Specielt hjul. En række effekter	วงล้อพิเศษ เอฟเฟกต์หลากหลาย	Roda Khusus. Berbagai efek	Bánh xe đặc biệt. Nhiều hiệu ứng	Roda especial. Uma variedade de efeitos	특수 휠.다양한 효과	အထူးဘီး။သက်ရောက်မှုမျိုးစုံ
L_34	Volatility:	揮發性：	ボラティリティ:	Volatilidad:	Tete:	Volatilitet:	ความผันผวน:	Keriangan:	Biến động:	Volatilidade:	휘발성:	မတည်ငြိမ်မှု-
L_35	My Favorite Instructions	我最喜歡的說明	私のお気に入りの指示	Mis instrucciones favoritas	Maagizo Ninayopenda	Mine yndlingsvejledninger	คำแนะนำที่ฉันชื่นชอบ	Instruksi Favorit Saya	Hướng dẫn yêu thích của tôi	Minhas instruções favoritas	내가 가장 좋아하는 지침	ကျွန်ုပ်အနှစ်သက်ဆုံး ညွှန်ကြားချက်များ
L_36	Rich Card(1   )	富卡(1)	リッチカード(1)	Tarjeta rica(1 )	Kadi tajiri(1)	Rich Card(1)	ริชการ์ด(1 )	Kartu Informasi(1 )	Thẻ Rich(1 )	Cartão rico(1)	리치 카드(1 )	ချမ်းသာကတ် (၁)
L_37	Info:	資訊:	情報：	Información:	Taarifa:	Info:	ข้อมูล:	Informasi:	Thông tin:	Informações:	정보:	အချက်အလက်-
L_38	Game cad grants Freegame. It's removed from inventory upon use or if unused before expiry.	遊戲 cad 授予 Freegame。使用後或過期前未使用的物品將從庫存中刪除。	ゲーム CAD は Freegame を許可します。使用時、または期限切れ前に未使用の場合は在庫から削除されます。	El cad del juego otorga Freegame. Se elimina del inventario tras su uso o si no se utiliza antes de su vencimiento.	Msaada wa kadi ya mchezo Freegame. Inaondolewa kwenye orodha inapotumiwa au ikiwa haijatumika kabla ya muda wake kuisha.	Game cad grants Freegame. Det fjernes fra lageret ved brug, eller hvis det ikke er brugt før udløb.	เกม CAD มอบ Freegame จะถูกลบออกจากสินค้าคงคลังเมื่อมีการใช้งานหรือหากไม่ได้ใช้ก่อนหมดอายุ	Game cad memberikan Freegame. Itu dihapus dari inventaris saat digunakan atau jika tidak digunakan sebelum habis masa berlakunya.	Game cad cấp Freegame. Nó sẽ bị xóa khỏi kho khi sử dụng hoặc nếu không được sử dụng trước khi hết hạn.	Jogo cad concede Freegame. Ele é removido do inventário após o uso ou se não for utilizado antes de expirar.	게임 캐드는 Freegame을 부여합니다. 사용 시 또는 만료 전에 사용하지 않은 경우 인벤토리에서 제거됩니다.	Game cad သည် Freegame ဖြစ်သည်။ အသုံးပြုပြီးပါက သို့မဟုတ် သက်တမ်းမကုန်မီ အသုံးမပြုပါက စာရင်းမှ ဖယ်ရှားပါသည်။
L_39	Click the Heart to collect the game to your Favorites.	點擊心形將遊戲收藏到您的收藏夾中。	ハートをクリックしてゲームをお気に入りに集めます。	Haz clic en el Corazón para agregar el juego a tus Favoritos.	Bofya Moyo ili kukusanya mchezo kwa Vipendwa vyako.	Klik på hjertet for at samle spillet til dine favoritter.	คลิกที่หัวใจเพื่อรวบรวมเกมไปยังรายการโปรดของคุณ	Klik Hati untuk mengumpulkan game ke Favorit Anda.	Nhấp vào Trái tim để thu thập trò chơi vào Mục yêu thích của bạn.	Clique no Coração para coletar o jogo em seus Favoritos.	즐겨찾기에 게임을 수집하려면 하트를 클릭하세요.	သင့်အကြိုက်ဆုံးများထံ ဂိမ်းစုဆောင်းရန် Heart ကိုနှိပ်ပါ။
L_40	Then you can find it in th "Win More:.	然後您可以在“贏得更多：”中找到它。	次に、「Win More:」でそれを見つけることができます。	Luego podrás encontrarlo en "Win More:".	Basi unaweza kuipata katika "Shinda Zaidi:.	Så kan du finde det i "Vind mere:.	จากนั้นคุณจะพบได้ใน "Win More:.	Kemudian Anda dapat menemukannya di "Menang Lebih Banyak:.	Sau đó, bạn có thể tìm thấy nó trong thư mục "Win More:.	Então você pode encontrá-lo em "Ganhe Mais:.	그런 다음 "Win More:."에서 찾을 수 있습니다.	ထို့နောက် th "Win More:.
L_41	Click the game icon and enter.	點擊遊戲圖示並進入。	ゲームアイコンをクリックして入力してください。	Haz clic en el ícono del juego y entra.	Bonyeza ikoni ya mchezo na uingie.	Klik på spilikonet og indtast.	คลิกที่ไอคอนเกมแล้วเข้าไป	Klik ikon permainan dan masuk.	Nhấp vào biểu tượng trò chơi và nhập.	Clique no ícone do jogo e entre.	게임 아이콘을 클릭하고 입장하세요.	ဂိမ်းအိုင်ကွန်ကို နှိပ်ပြီး ဝင်ပါ။
L_42	Rewards	獎勵	報酬	Recompensas	Zawadi	Belønninger	รางวัล	Hadiah	Phần thưởng	Recompensas	보상	ဆုလာဘ်
L_43	Tournament	比賽	トーナメント	Torneo	Mashindano	Turnering	ทัวร์นาเมนต์	Turnamen	Giải đấu	Torneio	토너먼트	ပြိုင်ပွဲ
L_44	Login gift	登入贈品	ログインギフト	Regalo de inicio de sesión	Zawadi ya kuingia	Login gave	เข้าสู่ระบบของขวัญ	Hadiah masuk	Quà tặng đăng nhập	Presente de login	로그인 선물	ဝင်ရောက်လက်ဆောင်
L_45	Experience chips	體驗籌碼	経験値チップ	Fichas de experiencia	Pata uzoefu wa chips	Oplev chips	ชิปประสบการณ์	Pengalaman chip	Chip kinh nghiệm	Fichas de experiência	경험칩	အတွေ့အကြုံရှိ ချစ်ပ်များ
L_46	Mission	使命	ミッション	Misión	Misheni	Mission	ภารกิจ	Misi	Nhiệm vụ	Missão	사명	သာသနာ
L_47	Member	成員	メンバー	Miembro	Mwanachama	Medlem	สมาชิก	Anggota	Thành viên	Membro	회원	အဖွဲ့ဝင်
L_48	History	歷史	歴史	Historia	Historia	Historie	ประวัติศาสตร์	Sejarah	Lịch sử	História	역사	သမိုင်း
L_49	Event	事件	イベント	Evento	Tukio	Tilfælde	เหตุการณ์	Peristiwa	Sự kiện	Evento	이벤트	ပွဲ
L_50	Search Content:	搜尋內容：	検索コンテンツ:	Buscar contenido:	Tafuta Maudhui:	Søg efter indhold:	ค้นหาเนื้อหา:	Konten Pencarian:	Nội dung tìm kiếm:	Conteúdo de pesquisa:	콘텐츠 검색:	အကြောင်းအရာကို ရှာဖွေပါ-
L_51	Event Time:	活動時間：	イベント時間:	Hora del evento:	Muda wa Tukio:	Begivenhedstid:	เวลากิจกรรม:	Waktu Acara:	Thời gian sự kiện:	Horário do Evento:	이벤트 시간:	ပွဲချိန်-
L_52	Game Types:	遊戲類型：	ゲームの種類:	Tipos de juegos:	Aina za Mchezo:	Spiltyper:	ประเภทเกม:	Jenis Permainan:	Các loại trò chơi:	Tipos de jogo:	게임 유형:	ဂိမ်းအမျိုးအစားများ-
L_53	Event name:	活動名稱：	イベント名：	Nombre del evento:	Jina la tukio:	Begivenhedsnavn:	ชื่อกิจกรรม:	Nama acara:	Tên sự kiện:	Nome do evento:	이벤트 이름:	ပွဲအမည်-
L_54	Event Time:	活動時間：	イベント時間:	Hora del evento:	Muda wa Tukio:	Begivenhedstid:	เวลากิจกรรม:	Waktu Acara:	Thời gian sự kiện:	Horário do Evento:	이벤트 시간:	ပွဲချိန်-
L_55	*Final update date: Coming soon	*最終更新日期：即將推出	※最終更新日：近日公開予定	*Fecha de actualización final: Próximamente	*Tarehe ya mwisho ya sasisho: Inakuja hivi karibuni	*Dato for endelig opdatering: Kommer snart	*วันที่อัปเดตครั้งสุดท้าย: เร็วๆ นี้	*Tanggal pembaruan terakhir: Segera hadir	*Ngày cập nhật cuối cùng: Sắp có	*Data de atualização final: Em breve	*최종 업데이트 날짜: 출시 예정	*နောက်ဆုံးအပ်ဒိတ်ရက်စွဲ- မကြာမီလာမည်။
L_56	*Rankings are updated every 15 minutes	*排名每15分鐘更新一次	※ランキングは15分ごとに更新されます	*Las clasificaciones se actualizan cada 15 minutos.	*Nafasi husasishwa kila baada ya dakika 15	*Rangering opdateres hvert 15. minut	*อันดับจะอัปเดตทุกๆ 15 นาที	*Peringkat diperbarui setiap 15 menit	*Bảng xếp hạng được cập nhật 15 phút một lần	*As classificações são atualizadas a cada 15 minutos	*랭킹은 15분마다 업데이트됩니다	* အဆင့်များကို 15 မိနစ်တိုင်း update လုပ်သည်။
L_57	My ranking	我的排名	私のランキング	mi ranking	Nafasi yangu	Min placering	อันดับของฉัน	Peringkat saya	Thứ hạng của tôi	Minha classificação	나의 순위	ငါ့အဆင့်
L_58	Rank	秩	ランク	Rango	Cheo	Rang	อันดับ	Pangkat	Thứ hạng	Classificação	계급	ရာထူးအဆင့်
L_59	Player	玩家	プレーヤー	Jugador	Mchezaji	Spiller	ผู้เล่น	Pemain	Người chơi	Jogador	플레이어	ဘာညာ
L_60	Game	遊戲	ゲーム	Juego	Mchezo	Spil	เกม	Permainan	Trò chơi	Jogo	게임	ဂိမ်း
L_61	Score	分數	スコア	Puntaje	Alama	Score	คะแนน	Skor	Điểm	Pontuação	점수	နိုင်ပြီ
L_62	increase your JILI LV by placing bets and enjoy better rebates	透過投注增加您的JILI LV並享受更好的回饋	ベットして JILI LV を増やし、より良いリベートを楽しみましょう	aumente su JILI LV haciendo apuestas y disfrute de mejores reembolsos	ongeza JILI LV yako kwa kuweka dau na ufurahie punguzo bora zaidi	øg din JILI LV ved at placere indsatser og nyd bedre rabatter	เพิ่ม JILI LV ของคุณโดยการวางเดิมพันและเพลิดเพลินกับส่วนลดที่ดีกว่า	tingkatkan JILI LV Anda dengan memasang taruhan dan nikmati rabat yang lebih baik	tăng JILI LV của bạn bằng cách đặt cược và tận hưởng mức giảm giá tốt hơn	aumente seu JILI LV fazendo apostas e aproveite melhores descontos	베팅하여 JILI LV를 늘리고 더 나은 리베이트를 받으세요	အလောင်းအစားများထည့်ခြင်းဖြင့် ပိုမိုကောင်းမွန်သောပြန်အမ်းငွေများကို ခံစားခြင်းဖြင့် သင်၏ JILI LV ကို တိုးမြှင့်လိုက်ပါ။
L_63	Item	物品	アイテム	Artículo	Kipengee	Punkt	รายการ	Barang	Mục	Item	목	ကုသိုလ်ကံ
