CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_12	Bet:	賭注：	ベット：	Apuesta:	Dau:	Vædde:	เดิมพัน:	Bertaruh:	Đặt cược:	Aposta:	내기:	လောင်းကြေး-
L_13	System	系統	システム	Sistema	Mfumo	System	ระบบ	Sistem	Hệ thống	Sistema	체계	စနစ်
L_14	You have been idle for too long,please login again.	您已閒置太久，請重新登入。	長時間アイドル状態が続いています。再度ログインしてください。	Ha estado inactivo durante demasiado tiempo. Inicie sesión nuevamente.	Umekuwa bila kufanya kitu kwa muda mrefu sana, tafadhali ingia tena.	Du har været inaktiv for længe, ​​log venligst ind igen.	คุณไม่ได้ใช้งานเป็นเวลานานเกินไป กรุณาเข้าสู่ระบบใหม่อีกครั้ง	Anda sudah lama tidak aktif,silakan masuk lagi.	Bạn đã không sử dụng quá lâu, vui lòng đăng nhập lại.	Você ficou inativo por muito tempo. Faça login novamente.	너무 오랫동안 접속하지 않았습니다. 다시 로그인해 주세요.	သင် ပျင်းရိနေသည်မှာ ကြာပြီ၊ ကျေးဇူးပြု၍ ထပ်မံဝင်ရောက်ပါ။
L_15	Insufficient balance.	帳餘不足。	残高が不足しています。	Saldo insuficiente.	Usawa usiotosha.	Utilstrækkelig balance.	ยอดเงินคงเหลือไม่เพียงพอ	Saldo tidak mencukupi.	Số dư không đủ.	Saldo insuficiente.	잔액이 부족합니다.	လက်ကျန်မလုံလောက်။
L_16	Confirm	確認	確認する	Confirmar	Thibitisha	Bekræfte	ยืนยัน	Mengonfirmasi	Xác nhận	Confirmar	확인하다	အတည်ပြုပါ။
L_17	Server connection interrupted	伺服器連線中斷	サーバー接続が中断されました	Conexión al servidor interrumpida	Muunganisho wa seva umekatizwa	Serverforbindelse afbrudt	การเชื่อมต่อเซิร์ฟเวอร์ถูกขัดจังหวะ	Koneksi server terputus	Kết nối máy chủ bị gián đoạn	Conexão do servidor interrompida	서버 연결이 중단되었습니다	ဆာဗာချိတ်ဆက်မှု ပြတ်တောက်သွားသည်။
L_18	Language	語言	言語	Idioma	Lugha	Sprog	ภาษา	Bahasa	Ngôn ngữ	Linguagem	언어	ဘာသာစကား
L_19	Translate	翻譯	翻訳する	Traducir	Tafsiri	Oversætte	แปล	Menerjemahkan	Dịch	Traduzir	번역하다	ဘာသာပြန်ပါ။
L_20	Showcase	展示	ショーケース	Escaparate	Onyesho	Udstillingsvindue	ตู้โชว์	Memamerkan	Trưng bày	Vitrine	유리 진열장	ရှိုးကေ့
L_21	If you see [][][][][] on chinese or  special languages, do the following... /Search  for "TMP Settings"on your browser /Add  NatoSansKR,NatoSansMyanr,NatoSansTC and NatoSansThai to the "FallBack Font Assets" on "TMP Settings.	如果您在中文或特殊語言中看到 [][][][][]，請執行以下操作.../在瀏覽器中搜尋「TMP 設定」/將 NatoSansKR、NatoSansMyanr、NatoSansTC 和 NatoSansThai 新增至「TMP 設定」上的「後備字體資產」。	中国語または特殊言語で [][][][][] が表示される場合は、次の操作を行ってください... /ブラウザで「TMP 設定」を検索します /「TMP 設定」の「フォールバック フォント アセット」に NatoSansKR、NatoSansMyanr、NatoSansTC、および NatoSansThai を追加します。	Si ve [][][][][] en chino o idiomas especiales, haga lo siguiente... / Busque "Configuración TMP" en su navegador / Agregue NatoSansKR, NatoSansMyanr, NatoSansTC y NatoSansThai a "Recursos de fuentes de respaldo" en "Configuración TMP".	Ukiona [][][][][][] kwenye Kichina au lugha maalum, fanya yafuatayo... /Tafuta "Mipangilio ya TMP" kwenye kivinjari chako /Ongeza NatoSansKR,NatoSansMyanr,NatoSansTC na NatoSansThai kwenye "FallBack Font Assets" kwenye "TMP Settings.	Hvis du ser [][][][][] på kinesisk eller specialsprog, gør følgende... /Søg efter "TMP-indstillinger" i din browser /Tilføj NatoSansKR,NatoSansMyanr,NatoSansTC og NatoSansThai til "FallBack Font Assets" på "TMP-indstillinger.	หากคุณเห็น [][][][][] ในภาษาจีนหรือภาษาพิเศษ ให้ทำดังต่อไปนี้... / ค้นหา "การตั้งค่า TMP" บนเบราว์เซอร์ของคุณ / เพิ่ม NatoSansKR, NatoSansMyanr, NatoSansTC และ NatoSansThai ลงใน "ทรัพยากรฟอนต์สำรอง" บน "การตั้งค่า TMP"	Jika Anda melihat [][][][][][] pada bahasa Mandarin atau bahasa khusus, lakukan hal berikut... /Cari "Pengaturan TMP" pada peramban Anda /Tambahkan NatoSansKR, NatoSansMyanr, NatoSansTC, dan NatoSansThai ke "Aset Font FallBack" pada "Pengaturan TMP".	Nếu bạn thấy [][][][][] bằng tiếng Trung hoặc ngôn ngữ đặc biệt, hãy thực hiện như sau... /Tìm kiếm "Cài đặt TMP" trên trình duyệt của bạn /Thêm NatoSansKR, NatoSansMyanr, NatoSansTC và NatoSansThai vào "Tài sản phông chữ dự phòng" trên "Cài đặt TMP.	Se você vir [][][][][] em chinês ou idiomas especiais, faça o seguinte... /Pesquise por "Configurações TMP" no seu navegador /Adicione NatoSansKR, NatoSansMyanr, NatoSansTC e NatoSansThai aos "FallBack Font Assets" em "Configurações TMP".	중국어 또는 특수 언어에서 [][][][][]가 표시되면 다음을 수행하세요... /브라우저에서 "TMP 설정"을 검색하세요. /"TMP 설정"의 "FallBack Font Assets"에 NatoSansKR, NatoSansMyanr, NatoSansTC 및 NatoSansThai를 추가하세요.	တရုတ် သို့မဟုတ် အထူးဘာသာစကားများတွင် [][][][][] ကို သင်တွေ့ပါက၊ အောက်ပါတို့ကို လုပ်ဆောင်ပါ... /သင်၏ဘရောက်ဆာတွင် "TMP ဆက်တင်များ" ကိုရှာပါ / Add NatoSansKR၊ NatoSansMyanr၊ NatoSansTC နှင့် NatoSansThai တို့ကို "FallBack Font Assets" တွင် "TMP ဆက်တင်များ" တွင် ရှာဖွေပါ။
L_22	Feature Demo Playing	功能演示播放	機能デモの再生	Demostración de funciones en reproducción	Kipengele Demo Kucheza	Feature Demo Playing	การเล่นเดโม่คุณสมบัติ	Fitur Demo Bermain	Tính năng Demo Chơi	Demonstração de recursos em execução	기능 데모 재생	သရုပ်ပြကစားခြင်း လုပ်ဆောင်ချက်
L_23	After the  golden pocker wins, it will turn into wild in the same place	金撲克獲勝後， 它會在同一個地方變成野生的	ゴールデンポーカーが勝利すると、同じ場所でワイルドに変わります	Después de que el pocker dorado gane, se convertirá en comodín en el mismo lugar.	Baada ya pocker ya dhahabu kushinda, itageuka kuwa pori mahali pale pale	Efter den gyldne pocker vinder, det bliver til vildt samme sted	หลังจากที่โป๊กเกอร์ทองชนะแล้ว มันจะกลายเป็นไวลด์ที่เดิม	Setelah poker emas menang, ia akan berubah menjadi liar di tempat yang sama	Sau khi pocker vàng thắng, nó sẽ chuyển thành wild ở cùng một nơi	Depois que o Golden Poker vencer, ele se tornará Wild no mesmo lugar	골든 포커가 승리하면 같은 장소에서 와일드로 변합니다.	ရွှေအိတ်ကပ်အနိုင်ရပြီးနောက်၊ တစ်နေရာတည်းမှာ တောရိုင်းဖြစ်သွားလိမ့်မယ်။
L_24	Getting more combos will lead to a higher multiplier.	獲得更多組合將帶來更高的乘數。	コンボが増えると乗数が高くなります。	Obtener más combos dará como resultado un multiplicador más alto.	Kupata michanganyiko zaidi kutapelekea kizidishaji cha juu zaidi.	At få flere kombinationer vil føre til en højere multiplikator.	การได้รับคอมโบมากขึ้นจะนำไปสู่ตัวคูณที่สูงขึ้น	Mendapatkan lebih banyak kombo akan menghasilkan pengali yang lebih tinggi.	Có được nhiều combo hơn sẽ dẫn đến hệ số nhân cao hơn.	Conseguir mais combos resultará em um multiplicador maior.	콤보가 많을수록 승수도 높아집니다.	ပေါင်းစည်းမှုများ ပိုမိုရယူခြင်းသည် ပိုမိုများပြားသော မြှောက်ကိန်းကို ဦးတည်စေမည်ဖြစ်သည်။
L_25	Loading....	載入中....	読み込み中....	Cargando....	Inapakia....	Indlæser...	กำลังโหลด....	Memuat....	Đang tải....	Carregando....	로딩중....	တင်နေသည်....
L_26	Continue	繼續	続く	Continuar	Endelea	Fortsætte	ดำเนินการต่อ	Melanjutkan	Tiếp tục	Continuar	계속하다	ဆက်ရန်
L_27	Don't show next time	下次不再顯示	次回は表示しない	No mostrar la próxima vez	Usionyeshe wakati ujao	Vis ikke næste gang	อย่าแสดงครั้งต่อไป	Jangan tampilkan lain kali	Không hiển thị lần sau	Não mostrar na próxima vez	다음에는 보여주지 마세요	နောက်တစ်ကြိမ် မပြပါနှင့်
L_28	Load high quality next time	下次加載高品質	次回は高画質で読み込みます	La próxima vez cargue en alta calidad	Pakia ubora wa juu wakati ujao	Indlæs høj kvalitet næste gang	โหลดคุณภาพสูงในครั้งต่อไป	Muat kualitas tinggi lain kali	Tải chất lượng cao lần sau	Carregue alta qualidade na próxima vez	다음에는 고화질로 불러오세요	နောက်တစ်ကြိမ် အရည်အသွေးမြင့်တင်ပါ။
L_29	FREE SPIN	免費旋轉	フリースピン	GIRO GRATIS	SPIN BURE	GRATIS SPIN	สปินฟรี	PUTARAN GRATIS	VÒNG QUAY MIỄN PHÍ	RODADAS GRÁTIS	무료 스핀	အခမဲ့လှည့်ပါ။
L_30	c	c	c	do	c	c	ซี	C	c	c	기음	ဂ
L_31	o	哦	o	o	o	o	โอ้	Hai	ôi	o	영형	o
L_32	m	米	メートル	metro	m	m	ม.	M	tôi	m	중	ဍ
L_33	b	b	b	b	b	b	บี	B	b	b	비	ခ
L_34	o	哦	o	o	o	o	โอ้	Hai	ôi	o	영형	o
L_35	Feature Demo Playing	功能演示播放	機能デモの再生	Demostración de funciones en reproducción	Kipengele Demo Kucheza	Feature Demo Playing	การเล่นเดโม่คุณสมบัติ	Fitur Demo Bermain	Tính năng Demo Chơi	Demonstração de recursos em execução	기능 데모 재생	သရုပ်ပြကစားခြင်း လုပ်ဆောင်ချက်
L_36	jili	吉利	ジリ	Jili	jili	jili	จิลี่	jili	jili	jili	질리	ဂျလီ
L_37	Demo win	演示獲勝	デモ勝利	Demo win	Ushindi wa demo	Demo vinder	ชนะการสาธิต	Kemenangan demo	Chiến thắng bản demo	Vitória de demonstração	데모 승리	ဒီမိုအနိုင်ရ
L_38	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	วี_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043
L_39	Golden Card	金卡	ゴールデンカード	Tarjeta dorada	Kadi ya Dhahabu	Gyldent kort	การ์ดสีทอง	Kartu Emas	Thẻ Vàng	Cartão Dourado	골든 카드	ရွှေကတ်
L_40	1.“Golden Card” will only appear      at reels 2, 3, and 4. 2."Golden Symbol" will flip and      transform to "Joker Symbol" after      elimination. 3."Golden Symbol" substitutes for     the "Normal symbol" pays and     eliminates.	1.「金卡」只會出現     在第 2、3 和 4 捲軸上。 2.「金色符號」將會翻轉，     變身為“小丑符號”     消除。 3.“金色符號”替代    「普通符號」支付，並且    消除。	1.「ゴールデンカード」はリール2、3、4にのみ出現します。 2.「ゴールデンシンボル」は反転し、消滅すると「ジョーカーシンボル」に変化します。 3.「ゴールデンシンボル」は「通常シンボル」の代わりとなり、配当が支払われ、消滅します。	1. La "Carta Dorada" solo aparecerá en los rodillos 2, 3 y 4. 2. El "Símbolo Dorado" se volteará y se transformará en el "Símbolo Joker" tras la eliminación. 3. El "Símbolo Dorado" sustituye al "Símbolo Normal", paga y elimina.	1. "Golden Card" itaonekana tu      kwenye reli 2, 3, na 4. 2."Alama ya Dhahabu" itapinduka na      badilisha kuwa "Alama ya Joker" baada ya      kuondoa. 3 "Alama ya Dhahabu" mbadala za     "Alama ya kawaida" hulipa na     hupunguza.	1. "Golden Card" vises kun      på hjul 2, 3 og 4. 2."Golden Symbol" vil vende og      transformer til "Joker Symbol" efter      eliminering. 3 "Gyldent Symbol" erstatter     "Normal symbol" betaler og     eliminerer.	1.“ไพ่ทองคำ” จะปรากฏเฉพาะที่รีล 2, 3 และ 4 เท่านั้น 2.“สัญลักษณ์ทองคำ” จะพลิกและเปลี่ยนเป็น “สัญลักษณ์โจ๊กเกอร์” หลังจากถูกคัดออก 3.“สัญลักษณ์ทองคำ” แทนที่ “สัญลักษณ์ปกติ” จ่ายและ ถูกคัดออก	1. "Kartu Emas" hanya akan muncul di gulungan 2, 3, dan 4. 2. "Simbol Emas" akan berubah dan berubah menjadi "Simbol Joker" setelah eliminasi. 3. "Simbol Emas" menggantikan "Simbol Normal" yang membayar dan eliminasi.	1. "Golden Card" chỉ xuất hiện ở guồng 2, 3 và 4. 2."Golden Symbol" sẽ lật và chuyển thành "Joker Symbol" sau loại bỏ. 3."Golden Symbol" thay thế cho "Normal symbol" trả tiền và loại bỏ.	1.A "Carta Dourada" só aparecerá nas bobinas 2, 3, e 4. 2.Quando uma "Carta Dourada" é eliminada, ela irá virar em sua posição original e se tornará uma "Carta Coringa". 3.A "Carta Dourada" e a "Carta Normal" podem ser vistas como o mesmo padrão, eliminadas com acertos.	1. "골든 카드"는 릴 2, 3, 4에만 나타납니다. 2. "골든 심볼"은 제거 후 뒤집히고 "조커 심볼"로 변환됩니다. 3. "골든 심볼"은 "일반 심볼"을 대체하며 지불하고 제거합니다.	1.“Golden Card” ပေါ်လာပါမည်။      reels 2၊ 3 နှင့် 4 တွင်။ 2"Golden Symbol" သည် လှန်လိုက်ပါမည်။      ပြီးနောက် "Joker Symbol" သို့ပြောင်းပါ။      နှိမ်နှင်းရေး။ 3"Golden Symbol" ကို အစားထိုးသည်။     "သာမန်သင်္ကေတ" သည် ပေးဆောင်ပြီးဖြစ်သည်။     ဖယ်ရှားပေးသည်။
L_41	Joker Card	小丑牌	ジョーカーカード	Carta Joker	Kadi ya Joker	Joker kort	ไพ่โจ๊กเกอร์	Kartu Joker	Lá bài Joker	Carta Coringa	조커 카드	ဂျိုကာကတ်
L_42	1.The "Joker Symbol" only transform      from "Golden Symbol" of      elimination. 2. The “Joker Card” comes in two      modes: “Big Joker Card” and      “Little Joker Card”. 3. Landing the "Big Joker Symbol", it      will replace 1 to 4 number of      symbols (Except the Scatter and     Joker Symbol)randomly pick on      reel 2 to 5 by "Big Joker Symbol". 4. Landing the "Little Joker Symbol",     The "Golden Symbol" transform to      "Joker Symbol" only. 5. "Joker Symbol" substitutes for all     symbols except Scatter.	1.「小丑符號」只能變形     摘自《黃金像徵》     消除。 2.「小丑牌」有兩種     模式：「大王牌」和     「小丑牌」。 3. 獲得“大百搭符號”，     將替換 1 至 4 個     符號（除分散符號和     小丑符號）隨機挑選     捲軸 2 至 5 上有「大百搭符號」。 4. 獲得“小丑符號”，     “金色符號”轉變為     僅限「小丑符號」。 5.「小丑符號」代替所有     除 Scatter 之外的符號。	1.「ジョーカーシンボル」は、除去された「ゴールデンシンボル」からのみ変化します。 2.「ジョーカーカード」には、「ビッグジョーカーカード」と「リトルジョーカーカード」の2つのモードがあります。 3.「ビッグジョーカーシンボル」が出現すると、リール2～5でランダムに選ばれた1～4個のシンボル（スキャッターシンボルとジョーカーシンボルを除く）が「ビッグジョーカーシンボル」に置き換えられます。 4.「リトルジョーカーシンボル」が出現すると、 「ゴールデンシンボル」は「ジョーカーシンボル」にのみ変化します。 5.「ジョーカーシンボル」は、スキャッターシンボルを除くすべてのシンボルの代わりとなります。	1. El símbolo de Joker solo se transforma en el símbolo dorado de eliminación. 2. El Joker viene en dos modalidades: Joker grande y Joker pequeño. 3. Al obtener el Joker grande, este reemplazará de 1 a 4 símbolos (excepto el Scatter y el Joker) aleatoriamente en los rodillos 2 a 5 por el Joker grande. 4. Al obtener el Joker pequeño, el símbolo dorado se transforma únicamente en el símbolo de Joker. 5. El Joker sustituye a todos los símbolos excepto al Scatter.	1. "Alama ya Joker" inabadilika tu      kutoka kwa "Alama ya Dhahabu" ya      kuondoa. 2. "Kadi ya Joker" inakuja mbili      modes: "Kadi kubwa ya Joker" na      "Kadi ndogo ya Joker". 3. Kutua "Alama Kubwa ya Joker", it      itachukua nafasi ya 1 hadi 4 nambari ya      alama (isipokuwa Tawanya na     Alama ya Joker) endelea bila mpangilio      reel 2 hadi 5 na "Alama Kubwa ya Joker". 4. Kutua "Alama Ndogo ya Joker",     "Alama ya Dhahabu" inabadilika kuwa      "Alama ya Joker" pekee. 5. "Alama ya Joker" mbadala kwa wote     alama isipokuwa Tawanya.	1. "Joker-symbolet" transformerer kun      fra "Gyldent Symbol" af      eliminering. 2. "Joker-kortet" kommer i to      tilstande: "Big Joker Card" og      "Lille Joker Card". 3. Landing "Big Joker Symbol", det      vil erstatte 1 til 4 antal      symboler (undtagen scatter og     Joker Symbol) tilfældigt vælge på      hjul 2 til 5 af "Big Joker Symbol". 4. Lander "Lille Joker-symbolet",     Det "gyldne symbol" forvandles til      Kun "Joker Symbol". 5. "Joker Symbol" erstatter alle     symboler undtagen Scatter.	1. "สัญลักษณ์โจ๊กเกอร์" จะเปลี่ยนไปเป็น "สัญลักษณ์สีทอง" ของ การคัดออกเท่านั้น 2. "ไพ่โจ๊กเกอร์" มี 2 โหมด : "ไพ่โจ๊กเกอร์ตัวใหญ่" และ "ไพ่โจ๊กเกอร์ตัวเล็ก" 3. เมื่อได้ "สัญลักษณ์โจ๊กเกอร์ตัวใหญ่" สัญลักษณ์จะแทนที่สัญลักษณ์ 1 ถึง 4 ตัว (ยกเว้นสัญลักษณ์สแคทเตอร์และ โจ๊กเกอร์) แบบสุ่มบนรีล 2 ถึง 5 ด้วย "สัญลักษณ์โจ๊กเกอร์ตัวใหญ่" 4. เมื่อได้ "สัญลักษณ์โจ๊กเกอร์ตัวเล็ก" สัญลักษณ์ "สีทอง" จะเปลี่ยนไปเป็น "สัญลักษณ์โจ๊กเกอร์" เท่านั้น 5. "สัญลักษณ์โจ๊กเกอร์" แทนที่สัญลักษณ์ทั้งหมด ยกเว้นสแคทเตอร์	1. "Simbol Joker" hanya berubah dari "Simbol Emas" pada eliminasi. 2. "Kartu Joker" hadir dalam dua mode: "Kartu Joker Besar" dan "Kartu Joker Kecil". 3. Saat mendapatkan "Simbol Joker Besar", ia akan mengganti 1 hingga 4 simbol (Kecuali Scatter dan Simbol Joker) secara acak pada gulungan 2 hingga 5 dengan "Simbol Joker Besar". 4. Saat mendapatkan "Simbol Joker Kecil", "Simbol Emas" berubah menjadi "Simbol Joker" saja. 5. "Simbol Joker" menggantikan semua simbol kecuali Scatter.	1. "Biểu tượng Joker" chỉ chuyển đổi từ "Biểu tượng vàng" của loại trừ. 2. "Thẻ Joker" có hai chế độ: "Thẻ Joker lớn" và "Thẻ Joker nhỏ". 3. Khi hạ cánh "Biểu tượng Joker lớn", nó sẽ thay thế 1 đến 4 số biểu tượng (Trừ Biểu tượng Scatter và Joker) ngẫu nhiên chọn trên guồng 2 đến 5 bằng "Biểu tượng Joker lớn". 4. Khi hạ cánh "Biểu tượng Joker nhỏ", "Biểu tượng vàng" chỉ chuyển đổi thành "Biểu tượng Joker". 5. "Biểu tượng Joker" thay thế cho tất cả biểu tượng ngoại trừ Scatter.	1.A "Carta Coringa" só aparecerá depois que uma "Carta Dourada" for eliminada. 2.A "Carta Coringa" vem em duas modalidades: "Carta Coringa Grande" e "Carta Coringa Pequena". 3.Quando a "Carta Coringa Grande" aparecer, a posição original da "Carta Dourada" se tornará uma "Carta Coringa Grande", e a "Carta Coringa Grande" será replicada aleatoriamente e substituirá os outros símbolos. 4.Quando a "Carta Coringa Pequena" aparecer, somente a posição original da "Carta Dourada" se tornará uma "Carta Coringa Pequena". 5.Uma "Carta Coringa" é equivalente a um símbolo Coringa, o que significa que ele pode substituir qualquer outro símbolo, exceto o Scatter.	1. "조커 심볼"은 탈락 시 "골든 심볼"로만 변환됩니다.  2. "조커 카드"는 "빅 조커 카드"와 "리틀 조커 카드"의 두 가지 모드로 제공됩니다.  3. "빅 조커 심볼"이 나오면 릴 2~5에서 무작위로 선택된 1~4개의 심볼(스캐터 및 조커 심볼 제외)을 "빅 조커 심볼"로 대체합니다.  4. "리틀 조커 심볼"이 나오면  "골든 심볼"은  "조커 심볼"로만 변환됩니다. 5. "조커 심볼"은 스캐터를 제외한 모든 심볼을 대체합니다.	1.The "Joker Symbol" ကိုသာ ပြောင်းလဲလိုက်ပါ။      "ရွှေသင်္ကေတ" မှ      နှိမ်နှင်းရေး။ 2. "Joker Card" တွင် နှစ်ပိုင်းရှိသည်။      မုဒ်များ- “Big Joker Card” နှင့်      "Little Joker Card" 3. "Big Joker Symbol" ကို ဆင်းသက်လိုက်ပါ။      နံပါတ် 1 မှ 4 ကိုအစားထိုးပါမည်။      သင်္ကေတများ (Scatter နှင့်     Joker Symbol) ကျပန်းရွေးချယ်ပါ။      "Big Joker Symbol" ဖြင့် reel 2 မှ 5 အထိ။ 4. "Little Joker Symbol" ကို ဆင်းသက်လိုက်ပါ။     "ရွှေသင်္ကေတ" အဖြစ်သို့ပြောင်းလဲသွားသည်။      "ဂျိုကာသင်္ကေတ" သာ။ 5. အားလုံးအတွက် "Joker Symbol" ကို အစားထိုးပါ။     Scatter မှလွဲ၍ သင်္ကေတများ။
L_43	Combo Multiplier	連擊乘數	コンボ乗数	Multiplicador combinado	Mchanganyiko wa Kuzidisha	Combo multiplikator	ตัวคูณคอมโบ	Pengganda Kombo	Hệ số nhân kết hợp	Multiplicador de combinação	콤보 멀티플라이어	ပေါင်းစပ်ကိန်းဂဏန်း
